param k := 4;

set I := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40;

param d :
    1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 :=
1   0.0000 2.0608 14.3818 15.9264 0.6814 1.1158 10.0025 0.7684 14.7087 15.2018 16.0649 1.0511 1.3597 11.5610 15.0971 15.7752 11.9028 14.4580 10.2684 14.2394 15.8840 11.1949 10.3642 2.7097 15.3275 13.8659 15.0168 15.7691 10.8318 17.6710 10.9665 13.4069 14.8392 2.0308 13.3795 1.8840 15.7658 14.9057 11.9431 11.7639
2   2.0608 0.0000 13.5595 13.9135 1.4538 1.6534 7.9613 2.1186 13.9134 14.4759 14.0141 1.0486 0.7011 9.5473 14.5697 13.7227 9.8561 13.8143 8.3113 12.2074 13.8395 9.1701 8.3296 1.4462 13.3027 13.1002 12.9969 15.0996 8.9150 15.6464 8.9175 12.6926 12.8573 0.2014 12.6093 0.7432 13.7316 14.1917 9.9234 9.7625
3   14.3818 13.5595 0.0000 13.1482 13.8692 14.9015 14.3899 13.6674 0.3961 1.1342 14.6991 14.1229 13.8047 15.7373 2.3461 14.6463 14.9803 1.3135 16.0002 12.9497 14.2563 15.3124 14.7116 14.8378 13.2066 0.6369 12.9076 1.8752 16.7734 14.4921 14.4857 1.1975 11.8652 13.7588 1.0463 13.0319 13.7574 0.9943 15.7964 16.0858
4   15.9264 13.9135 13.1482 0.0000 15.2576 15.4825 7.1915 15.7077 13.4719 14.1821 1.7649 14.9614 14.5955 6.8944 15.4829 1.8812 5.8320 14.3982 8.3697 1.8292 1.3406 6.8254 7.0942 14.0773 0.7346 13.3344 0.9431 14.8591 8.6723 1.7947 6.3232 13.5003 1.3898 13.9985 13.1273 14.0721 0.8331 14.1266 6.5960 7.0673
5   0.6814 1.4538 13.8692 15.2576 0.0000 1.1527 9.4147 0.7432 14.2030 14.7136 15.4149 0.6108 0.7721 10.9991 14.6591 15.1270 11.3082 13.9890 9.7459 13.5777 15.2288 10.6234 9.7834 2.3751 14.6625 13.3658 14.3502 15.2958 10.3337 17.0056 10.3690 12.9184 14.1640 1.4639 12.8774 1.2028 15.1048 14.4200 11.3762 11.2117
6   1.1158 1.6534 14.9015 15.4825 1.1527 0.0000 9.2639 1.7567 15.2426 15.7704 15.5093 0.7809 1.1335 10.7580 15.7560 15.2120 11.1726 15.0634 9.3986 13.7511 15.3543 10.4135 9.6072 1.7198 14.8567 14.4123 14.5583 16.3655 9.9229 17.1979 10.2479 13.9767 14.4570 1.5204 13.9224 1.9115 15.2693 15.4793 11.1492 10.9411
7   10.0025 7.9613 14.3899 7.1915 9.4147 9.2639 0.0000 10.0415 14.7840 15.5208 6.6417 8.9543 8.6555 1.7373 16.3469 6.3248 1.9089 15.2903 1.6676 5.3712 6.6116 1.2882 0.4150 7.6253 6.4654 14.2474 6.2700 16.2609 2.3966 8.6328 1.0035 14.1227 6.6826 7.9725 13.8436 8.3886 6.6996 15.3324 2.0453 2.0455
8   0.7684 2.1186 13.6674 15.7077 0.7432 1.7567 10.0415 0.0000 13.9898 14.4729 15.9287 1.3520 1.4832 11.6506 14.3474 15.6456 11.9244 13.7203 10.4297 14.0578 15.7284 11.2661 10.4176 3.1177 15.1296 13.1442 14.8111 15.0328 11.0316 17.4692 10.9827 12.6790 14.5803 2.1619 12.6591 1.6751 15.5857 14.1756 12.0226 11.8717
9   14.7087 13.9134 0.3961 13.4719 14.2030 15.2426 14.7840 13.9898 0.0000 0.7481 15.0357 14.4648 14.1497 16.1275 2.0678 14.9872 15.3667 1.1301 16.3953 13.3017 14.5918 15.7034 15.1049 15.1996 13.5423 0.8575 13.2463 1.4865 17.1681 14.7949 14.8762 1.3901 12.1985 14.1131 1.3321 13.3787 14.0903 0.6572 16.1848 16.4759
10   15.2018 14.4759 1.1342 14.1821 14.7136 15.7704 15.5208 14.4729 0.7481 0.0000 15.7578 14.9955 14.6888 16.8715 1.4994 15.7132 16.1135 0.9326 17.1282 14.0368 15.3130 16.4465 15.8438 15.7829 14.2639 1.3904 13.9706 0.7411 17.9028 15.4827 15.6199 1.7954 12.9181 14.6764 1.8765 13.9230 14.8091 0.3045 16.9305 17.2201
