param k := 3;

set I := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178;

param d :
    1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 :=
1   0.0000 31.2650 122.8312 415.2454 330.1745 385.2960 227.1295 230.0916 36.1170 35.2750 445.5510 217.3785 257.8193 92.4187 482.6669 245.4743 215.1640 66.2707 615.3037 220.2827 285.0024 296.0865 39.7633 59.4562 222.2299 235.2225 134.3835 222.4812 151.3825 43.1613 221.6428 450.5069 78.4963 170.1251 34.7183 147.5780 185.7916 49.5312 53.6096 305.0205 270.1880 47.8349 39.7184 385.7641 181.1195 22.3407 25.0947 84.1259 24.7602 195.9616 92.0092 202.7122 126.0475 310.2394 10.3928 56.3184 95.4341 206.5290 220.8299 546.4472 385.9067 615.6053 436.2690 646.2536 710.3938 388.1032 565.1313 557.1807 315.4903 347.8562 196.5878 656.3540 594.4148 82.2120 180.9969 637.7206 674.2540 565.2255 315.1525 602.6211 788.0860 353.4107 437.8567 551.6576 546.0172 615.6540 571.2632 504.6370 387.4659 443.7757 586.8319 616.4117 571.9727 775.9963 720.5983 132.8020 440.1237 638.3939 406.8933 660.1716 356.2896 504.5380 627.7050 651.3219 395.2846 750.9505 557.0081 578.6535 753.8307 386.4581 503.4354 741.0601 458.6675 632.2430 681.4042 659.3859 571.5168 720.2970 694.6068 502.6363 441.1291 600.2024 700.5494 686.2720 686.5130 688.3146 714.2077 600.1744 724.1183 487.3404 435.0562 535.5287 505.9193 465.5327 417.1447 371.5070 347.1779 550.9816 486.6004 475.8017 466.0820 287.5818 545.8996 516.2293 210.6207 236.4334 651.7364 441.9770 416.5434 515.2563 565.0975 585.2628 640.1824 391.1382 425.7250 341.8028 586.2708 187.8210 406.2216 446.7251 546.4424 385.5658 495.5037 390.6001 451.5986 546.4586 370.4765 382.0686 315.9276 435.3922 555.8952 596.4551 406.6577 326.6600 316.1105 230.2400 225.2152 506.0594
2   31.2650 0.0000 135.2247 430.2516 315.6688 400.2103 240.0634 245.9850 6.7864 7.8329 460.0824 230.1271 270.2711 100.4414 497.0202 260.3641 231.0488 81.9112 630.0908 205.6693 271.2978 280.1140 16.0112 35.9768 205.2312 221.7405 145.2536 235.1502 135.4347 16.2954 235.2832 465.1139 60.4437 187.9361 46.7624 130.3363 170.3510 55.4656 30.3917 291.3683 255.6245 19.6806 45.2046 370.0729 165.2540 32.9748 16.0735 65.2217 13.1408 210.2970 100.3823 215.1750 140.4965 325.4069 21.3006 72.4419 82.1950 220.0889 235.2189 530.1516 370.0454 600.0331 420.1019 630.1845 695.0600 372.0736 548.4573 540.5152 300.2349 335.9534 180.2894 640.3037 578.2899 78.1137 164.3095 622.0313 658.1687 550.1820 302.1856 587.1268 772.1704 336.3790 420.7812 535.3381 530.0836 600.0436 555.2187 488.3798 370.5015 426.2498 570.3715 600.2660 555.4482 760.1302 705.0388 129.1607 426.4958 622.2025 390.2577 644.1555 340.0767 488.2104 612.0852 635.2161 378.4165 735.1515 540.4299 562.3459 738.0883 370.1635 488.1363 725.1705 443.1045 616.2012 665.2915 643.2672 555.2684 705.1410 678.3187 486.2528 425.1161 585.5749 685.1841 670.2404 670.3236 672.2419 698.2176 584.3163 708.2315 470.5631 420.6410 520.1005 490.1833 450.1710 400.3443 355.1502 330.3616 535.2149 470.2415 460.1886 450.1350 270.3862 530.1616 500.1579 195.5759 220.2562 635.3954 425.3871 400.2457 500.3127 550.6545 570.2721 625.3801 375.1414 410.1308 325.3062 570.1975 170.8191 390.3548 430.3604 530.2479 370.1886 480.1710 375.1357 435.2921 530.2770 355.4387 365.3545 300.3813 420.4355 540.0840 580.2641 390.2519 310.2361 300.2745 216.2212 211.2135 490.2353
3   122.8312 135.2247 0.0000 295.2627 450.3311 265.2569 105.2115 111.8277 140.1492 140.0747 325.0272 95.2324 135.5652 37.1547 362.0693 125.5117 96.9057 56.8023 495.0667 340.3515 405.7821 415.0074 150.0343 170.1273 340.0504 355.8103 13.1676 100.2937 270.0742 150.1195 100.0837 330.0429 195.0418 58.8682 90.4776 265.0122 305.1556 80.0939 165.0801 425.8968 390.3371 150.4254 90.0861 505.0114 300.0674 105.5088 120.0508 200.0221 125.0234 75.4163 36.7106 80.3273 12.2970 190.5277 126.1802 66.7453 215.6904 85.0352 100.2813 665.2004 505.0281 735.0117 555.0562 765.1318 830.0155 507.0140 683.3990 675.3990 435.1186 469.6896 315.0431 775.1765 713.1654 203.9147 299.0301 757.0247 793.1516 685.1033 436.4358 722.0228 907.1335 471.2450 555.5211 670.2099 665.0465 735.0136 690.1135 623.1940 505.3110 560.9002 705.2971 735.1704 690.3342 895.1032 840.0126 255.4165 560.9976 757.1813 525.1664 779.1173 475.0301 623.1517 747.0184 770.1603 513.2655 870.0848 675.3348 697.2272 873.0543 505.0632 623.0413 860.1120 578.0155 751.1275 800.1988 778.1842 690.1825 840.0489 813.2861 621.1792 560.0331 720.2984 820.0512 805.1591 805.2366 807.1700 833.1435 719.1330 843.1303 605.3903 555.4123 655.0191 625.0424 585.0414 535.2543 490.0672 465.1903 670.0672 605.1540 595.0357 585.0396 405.1986 665.0436 635.0809 330.2168 355.0351 770.3060 560.2287 535.1026 635.1421 685.3891 705.1205 760.1869 510.0434 545.0231 460.1101 705.1209 305.1701 525.1056 565.1803 665.1452 505.0526 615.0410 510.0398 570.1426 665.1537 490.1605 500.2059 435.0814 555.1671 675.0318 715.1823 525.1254 445.0768 435.0429 350.5712 345.5627 625.0702
4   415.2454 430.2516 295.2627 0.0000 745.0394 30.0920 190.7962 185.2048 435.3135 435.2616 31.1594 200.8404 161.8164 330.7882 68.0765 170.0129 200.1595 350.0258 200.0680 635.0177 700.1253 710.1014 445.1831 465.3721 635.2530 650.1621 285.7226 195.9774 565.0490 445.3397 195.4687 35.8096 490.1026 245.7684 385.0410 560.1719 600.0214 375.3271 460.2713 720.1739 685.0149 445.6213 385.1996 800.0753 595.0391 400.0274 415.1606 495.1500 420.1295 220.0636 330.7037 215.8559 290.0224 105.0408 420.0378 360.0380 510.0276 210.3020 195.0700 960.3759 800.1161 1030.0924 850.2288 1060.3290 1125.0553 802.1532 978.6330 970.6462 730.0306 762.9729 610.1286 1070.3821 1008.3738 495.8810 594.1614 1052.1388 1088.3449 980.0245 730.3875 1017.1074 1202.3217 766.4927 850.7776 965.4361 960.2068 1030.1136 985.3087 918.4098 800.5652 856.1365 1000.5359 1030.3841 985.5797 1190.2803 1135.1136 545.2440 855.2987 1052.3882 820.3929 1074.3095 770.1870 918.3659 1042.1326 1065.3676 808.5140 1165.2551 970.5799 992.4571 1168.2062 800.2546 918.0453 1155.2963 873.0818 1046.3255 1095.4143 1073.3994 985.4028 1135.0442 1108.5087 916.4030 855.1931 1015.0925 1115.1178 1100.3623 1100.4623 1102.3790 1128.3421 1014.3025 1138.3185 900.6451 850.0679 950.0621 920.1647 880.0572 830.4882 785.2459 760.4232 965.2058 900.3659 890.1246 880.1917 700.4362 960.1738 930.2615 625.0232 650.1350 1065.5363 855.4546 830.2902 930.0248 980.0867 1000.0276 1055.0471 805.1576 840.0789 755.3020 1000.3024 600.3178 820.1999 860.3692 960.3459 800.0434 910.0558 805.0502 865.3346 960.3567 785.0446 795.4155 730.0963 850.0531 970.1678 1010.3783 820.3138 740.2494 730.1236 645.0690 640.0626 920.2010
5   330.1745 315.6688 450.3311 745.0394 0.0000 715.0546 555.4758 560.0204 310.7971 310.7030 775.1175 545.5043 585.7422 415.9961 812.2165 575.0525 545.0096 395.0219 945.0758 110.1778 46.0293 38.5879 300.5177 280.9653 112.1931 95.2792 460.7063 550.5398 180.3464 300.8515 550.2684 780.0999 255.4152 500.2011 360.0959 185.8794 145.3290 370.5544 285.7585 28.1096 60.2451 301.3159 360.4562 57.1370 150.4633 345.0841 330.4313 250.6390 325.3614 525.1299 415.9162 530.5602 455.1199 640.0227 325.0388 385.0123 235.0614 535.2591 550.1162 217.3773 57.8818 285.6165 107.7771 316.5346 380.2728 60.5052 236.4961 228.5446 17.7287 37.4909 135.8725 326.6002 264.8450 251.0471 151.9744 307.7709 344.5343 235.1153 24.3989 272.5478 458.1332 38.3641 112.4467 222.4791 216.3736 285.6613 241.6523 175.6780 64.7199 120.0938 257.7004 286.8056 243.0059 446.0276 390.5304 206.7647 111.2059 308.8176 80.8495 330.3891 32.9106 175.6289 297.6797 321.6158 71.1597 420.9407 228.2060 249.3448 423.8112 60.0803 173.3875 411.1047 128.8987 302.5071 351.6591 329.6764 242.1483 390.1416 365.0284 173.8390 112.2046 270.1292 370.3999 356.4594 356.8337 358.5288 384.3382 270.3669 394.1682 159.6225 105.1634 205.5029 176.1967 135.5669 91.3117 46.8948 32.9043 221.1721 157.9214 146.0479 136.8110 53.6414 216.0587 186.8519 120.2815 96.3892 322.2810 114.6621 89.0253 185.1619 235.1258 255.1679 310.0607 63.6577 96.2963 27.4530 256.7092 146.6981 78.2449 118.8645 217.1283 56.1958 165.4674 61.3230 123.3765 217.1300 41.2454 58.7088 20.7765 105.3749 226.1101 267.0076 79.9510 24.1493 22.4216 100.2525 105.1783 176.5068
6   385.2960 400.2103 265.2569 30.0920 715.0546 0.0000 160.8121 155.2969 405.2835 405.2442 60.4852 170.8712 132.0305 300.7631 97.5753 140.0193 170.2580 320.0508 230.0475 605.0179 670.1483 680.0916 415.1614 435.3540 605.2414 620.2041 255.7188 166.0228 535.0454 415.3167 165.5326 65.3977 460.0848 215.9783 355.0384 530.1662 570.0097 345.3092 430.2425 690.1945 655.0208 415.6135 355.1740 770.0643 565.0293 370.0320 385.1401 465.1318 390.1218 190.0679 300.6838 185.8918 260.0064 75.0906 390.0506 330.0689 480.0393 180.2893 165.0568 930.3432 770.0964 1000.0796 820.2116 1030.3149 1095.0471 772.1388 948.6120 940.6318 700.0212 733.0583 580.1182 1040.3770 978.3666 466.0331 564.1546 1022.1215 1058.3251 950.0207 700.4262 987.1049 1172.3057 736.4763 820.7706 935.4270 930.1907 1000.1003 955.2985 888.4064 770.5532 826.1321 970.5164 1000.3725 955.5645 1160.2638 1105.1016 515.4681 825.3374 1022.3668 790.3772 1044.2924 740.1691 888.3469 1012.1245 1035.3510 778.5003 1135.2449 940.5627 962.4458 1138.1924 770.2414 888.0414 1125.2835 843.0741 1016.3125 1065.4034 1043.3858 955.3882 1105.0443 1078.4870 886.3848 825.1819 985.1207 1085.1211 1070.3512 1070.4499 1072.3660 1098.3311 984.3048 1108.3110 870.6338 820.0781 920.0566 890.1630 850.0560 800.4693 755.2325 730.4106 935.2054 870.3523 860.1254 850.1825 670.4242 930.1699 900.2494 595.0280 620.1281 1035.5217 825.4477 800.2852 900.0357 950.1127 970.0389 1025.0643 775.1518 810.0748 725.2990 970.2932 570.3345 790.2135 830.3704 930.3375 770.0415 880.0567 775.0430 835.3310 930.3498 755.0610 765.4079 700.1079 820.0715 940.1558 980.3684 790.3070 710.2435 700.1269 615.0964 610.0879 890.2048
7   227.1295 240.0634 105.2115 190.7962 555.4758 160.8121 0.0000 25.6865 245.0052 245.0226 220.2141 10.3447 30.8559 140.1379 257.0993 25.8594 26.5987 161.2281 390.2088 445.4525 510.8846 520.0562 255.0627 275.0286 445.0372 460.9746 95.0695 6.2394 375.1940 255.0050 10.7227 225.2771 300.1231 65.9294 195.5582 370.0702 410.2435 185.0537 270.0193 530.9718 495.4506 255.1179 195.0698 610.0529 405.1596 210.5920 225.0936 305.0480 230.1494 32.6627 140.1020 25.2326 101.1556 87.1473 231.0596 171.2814 320.7632 21.0733 13.3838 770.0692 610.0363 840.0190 660.0170 870.0618 935.0522 612.0187 788.2081 780.2279 540.1988 574.6546 420.1186 880.1209 818.1069 308.4115 404.0964 862.0100 898.0600 790.1811 541.4903 827.0665 1012.0664 576.1065 660.3256 775.1250 770.0185 840.0192 795.0751 728.1445 610.1711 665.5835 810.1589 840.0994 795.1924 1000.0454 945.0150 359.1628 666.1352 862.0778 630.0697 884.0521 580.0174 728.0648 852.0330 875.0820 618.1340 975.0530 780.1825 802.1349 978.0244 610.0398 728.1145 965.0625 683.0666 856.0713 905.1208 883.1090 795.0992 945.1172 918.1485 726.0866 665.0319 825.4475 925.1074 910.0947 910.1410 912.0955 938.0823 824.1352 948.0932 710.2334 660.5305 760.0697 730.0723 690.1176 640.1113 595.0300 570.1026 775.0862 710.0714 700.0888 690.0382 510.0865 770.0603 740.0422 435.3404 460.1002 875.1769 665.1292 640.0662 740.2487 790.5308 810.2175 865.3069 615.0474 650.0746 565.0817 810.0617 410.2115 630.1407 670.1195 770.0821 610.1326 720.1159 615.1048 675.0889 770.0940 595.2830 605.1048 540.1843 660.2951 780.0231 820.0973 630.0656 550.0594 540.1149 455.7089 450.7017 730.0867
8   230.0916 245.9850 111.8277 185.2048 560.0204 155.2969 25.6865 0.0000 251.1799 251.0737 215.6015 30.0506 40.6574 148.2198 252.7996 17.6730 15.3306 165.1415 385.2433 450.0360 515.0288 525.3493 260.7745 281.2102 450.7036 465.0731 103.8621 28.8507 380.2635 261.2061 22.9724 220.5283 305.4784 61.0394 200.3117 375.6002 415.1532 191.3956 275.9760 535.0682 500.0218 261.8530 201.0194 615.2676 410.2425 215.2453 230.7978 310.6542 235.6989 37.5664 147.9966 40.3879 105.5739 80.2423 235.0255 175.1064 325.0217 31.4574 16.6336 775.7489 615.3387 845.2669 665.5520 875.6652 940.1609 617.4339 794.1723 786.1825 545.1210 577.7920 425.4081 885.7251 823.7293 310.7784 409.5152 867.3404 903.6825 795.0604 545.2249 832.2649 1017.6095 582.0580 666.4309 780.8512 775.4782 845.2924 800.6260 733.7998 616.1354 671.9775 815.9907 845.7423 801.0631 1005.5481 950.2837 360.3625 670.1500 867.7542 635.8639 889.6210 585.4994 733.7521 857.3202 880.7073 624.0524 980.5052 786.0762 807.8680 983.4345 615.6086 733.1505 970.5737 688.2465 861.6475 910.7702 888.7500 800.7822 950.1085 923.9177 731.8068 670.4786 830.0830 930.2460 915.6892 915.8468 917.7179 943.6604 829.5855 953.6030 716.1997 665.0094 765.1995 735.3954 695.1814 646.0132 600.6206 575.9195 780.4495 715.7717 705.3185 695.4643 516.0068 775.4003 745.5776 440.1197 465.4144 880.9701 670.9412 645.6795 745.0740 795.0419 815.0875 870.0573 620.4598 655.2662 570.7282 815.6469 415.8204 635.5146 675.8144 775.7223 615.1720 725.1753 620.1912 680.7423 775.7287 600.1426 610.9264 545.2975 665.1202 785.4081 825.7656 635.7361 555.6410 545.3730 460.0513 455.0376 735.4769
9   36.1170 6.7864 140.1492 435.3135 310.7971 405.2835 245.0052 251.1799 0.0000 3.2701 465.0877 235.0282 275.1264 105.2103 502.0361 265.4557 236.2027 87.1122 635.1112 200.9143 266.5926 275.1020 11.2922 30.4212 200.1076 216.9847 150.0777 240.0481 130.5046 10.3395 240.1881 470.1187 55.5676 193.2804 51.9384 125.2141 165.5294 60.1835 25.1854 286.6936 250.8147 13.4261 50.1933 365.0785 160.3513 38.1071 20.8264 60.1850 16.9100 215.3426 105.1700 220.0480 145.6964 330.5094 25.9559 77.6621 77.9325 225.0809 240.2772 525.1146 365.0526 595.0240 415.0388 625.1059 690.0653 367.0343 543.3368 535.3753 295.3237 331.4661 175.2745 635.1943 573.1806 75.0182 159.2475 617.0168 653.1006 545.2414 297.5896 582.0977 767.1062 331.2279 415.5791 530.2158 525.0386 595.0282 550.1313 483.2539 365.3365 421.0031 565.2618 595.1686 550.3165 755.0762 700.0230 126.2089 421.7205 617.1298 385.1418 639.0900 335.0376 483.1230 607.0530 630.1370 373.2667 730.0885 535.3049 557.2273 733.0439 365.0859 483.1598 720.1023 438.1006 611.1217 660.1938 638.1777 550.1727 700.1503 673.2304 481.1602 420.0635 580.6136 680.1516 665.1540 665.2235 667.1556 693.1334 579.2169 703.1476 465.4055 415.7878 515.0966 485.1194 445.1727 395.2161 350.0689 325.2207 530.1429 465.1367 455.1426 445.0734 265.2139 525.1007 495.0819 190.7209 215.2130 630.2794 420.2442 395.1323 495.3492 545.7324 565.2945 620.4081 370.0847 405.1145 320.1745 565.1093 165.5775 385.2438 425.2191 525.1469 365.2052 475.1690 370.1590 430.1679 525.1662 350.4580 360.2130 295.3329 415.4512 535.0433 575.1650 385.1326 305.1297 295.2132 211.4437 206.4442 485.1462
10   35.2750 7.8329 140.0747 435.2616 310.7030 405.2442 245.0226 251.0737 3.2701 0.0000 465.0606 235.0349 275.1537 105.3633 502.0344 265.3745 236.0670 86.7850 635.0818 200.8295 266.4802 275.0692 11.0362 30.4177 200.0869 216.7899 150.1058 240.0631 130.3867 10.5494 240.1142 470.0791 55.4547 193.0613 51.6134 125.1169 165.4632 60.1308 25.2965 286.6087 250.7245 13.7063 50.1386 365.0596 160.2739 37.6088 20.6610 60.0883 16.1383 215.2449 105.2447 220.0474 145.6004 330.4423 25.0508 77.2737 77.6287 225.0435 240.2118 525.1646 365.0520 595.0149 415.0446 625.1126 690.0522 367.0216 543.3737 535.3966 295.2884 331.3099 175.2157 635.1892 573.1758 74.1163 159.1734 617.0201 653.1192 545.2148 297.4775 582.0756 767.1177 331.2500 415.5983 530.2178 525.0417 595.0253 550.1285 483.2385 365.3512 421.0444 565.2904 595.1710 550.3387 755.0898 700.0190 125.6831 421.6182 617.1552 385.1522 639.1062 335.0370 483.1419 607.0410 630.1518 373.2839 730.0875 535.3304 557.2342 733.0479 365.0805 483.1320 720.1091 438.0731 611.1243 660.1984 638.1864 550.1842 700.1239 673.2621 481.1836 420.0511 580.5250 680.1223 665.1630 665.2364 667.1638 693.1355 579.1883 703.1438 465.4271 415.7253 515.0691 485.0844 445.1314 395.2386 350.0544 325.2270 530.1144 465.1428 455.1012 445.0573 265.2143 525.0782 495.0833 190.5871 215.1622 630.2995 420.2358 395.1047 495.2811 545.6463 565.2284 620.3424 370.0441 405.0693 320.1395 565.1017 165.4204 385.1583 425.1789 525.1370 365.1572 475.1250 370.1243 430.1402 525.1577 350.3521 360.1933 295.2300 415.3599 535.0336 575.1570 385.1094 305.0988 295.1411 211.2587 206.2604 485.1020
