param k := 3;

set I := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40;

param d :
    1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 :=
1   0.0000 235.0857 245.9051 440.3208 337.1886 435.0492 282.5540 96.4202 166.5712 70.6239 20.6804 345.2131 191.8092 474.3800 465.0290 520.7977 412.0141 218.5507 200.8295 461.1817 835.0496 345.1073 165.7368 215.3097 376.2715 231.6316 500.1319 168.0133 366.7113 275.0585 191.0595 503.8782 21.6150 670.0903 475.7701 250.4542 186.3230 330.7766 187.1572 226.8491
2   235.0857 0.0000 480.2507 205.2975 570.9665 200.2223 516.5804 330.1676 400.3906 300.8257 235.5000 580.1639 49.6794 708.6922 230.0304 755.3641 646.4321 451.2646 37.6088 695.5460 600.0294 578.9651 400.1641 450.0618 610.5424 465.5161 735.0290 402.2282 600.7678 40.4465 47.5934 738.3932 250.1947 435.0401 241.0368 18.6081 420.3308 565.2437 420.6477 460.5992
3   245.9051 480.2507 0.0000 685.0318 91.8357 680.4355 37.3782 150.1663 80.1498 180.1429 245.0249 103.7159 435.0566 228.6220 710.2027 275.1382 166.2309 35.2791 445.0573 215.3649 1080.0930 99.9065 80.3530 34.5170 130.5039 16.9779 255.3110 78.1452 120.9951 520.3992 435.0409 258.1746 230.0827 915.0665 720.0589 495.0791 60.8279 85.1423 60.7475 22.5423
4   440.3208 205.2975 685.0318 0.0000 775.3520 19.8303 721.1657 535.0187 605.0575 505.1634 440.0438 785.3225 250.2883 913.2752 27.8887 960.0990 851.1099 655.4206 240.1142 900.1682 395.1204 783.3749 605.0505 655.1173 815.1646 670.1123 940.0358 607.0268 805.2706 165.6950 250.1410 943.1004 455.0255 230.0835 37.5787 190.1525 625.0591 770.0394 625.1516 665.1404
5   337.1886 570.9665 91.8357 775.3520 0.0000 771.1516 54.9111 241.2654 170.7774 270.2392 335.4903 46.5947 525.1467 138.0969 800.7329 185.3015 76.7050 120.1120 535.3966 125.1938 1170.3999 9.4838 171.6063 124.9688 41.2275 105.8734 167.7533 169.2031 30.3065 611.1897 525.3250 168.3937 320.9220 1005.3951 810.0858 585.4769 151.6889 20.0781 150.3585 110.8479
6   435.0492 200.2223 680.4355 19.8303 771.1516 0.0000 716.7854 530.3276 600.5804 500.9727 435.6727 780.0255 246.8516 908.9003 31.2078 955.5484 846.6182 651.3870 236.0670 895.7373 400.2045 779.1518 600.3321 650.0840 810.7310 665.6964 935.0927 602.4110 800.9664 160.0545 246.2138 938.5679 450.3823 235.4211 50.7747 186.0460 620.4514 765.4102 620.8340 660.7603
7   282.5540 516.5804 37.3782 721.1657 54.9111 716.7854 0.0000 186.7592 116.2560 216.0693 281.1675 74.0085 471.0230 192.1702 746.4509 239.0168 130.0662 66.8497 481.1836 179.0831 1116.2320 62.9913 116.9405 71.2432 94.4385 51.9190 220.0424 114.6127 84.2440 556.7873 471.1169 222.0815 266.4536 951.2111 756.0261 531.2269 97.5816 50.4034 96.1260 57.1853
8   96.4202 330.1676 150.1663 535.0187 241.2654 530.3276 186.7592 0.0000 70.8108 32.9299 95.3839 250.8891 285.3107 378.7268 560.1304 425.2771 316.3710 122.5354 295.1411 365.4894 930.0541 249.3351 70.5468 120.4424 280.4971 135.5620 405.0914 72.4216 270.9108 370.2931 285.1841 408.2894 80.0958 765.0299 570.2040 345.1261 90.3413 235.1039 91.3632 130.7506
9   166.5712 400.3906 80.1498 605.0575 170.7774 600.5804 116.2560 70.8108 0.0000 100.2503 165.0294 182.5055 355.0438 308.3682 630.2849 355.0592 246.0825 52.6922 365.0805 295.1849 1000.1268 178.8172 8.7762 53.9001 210.3172 65.6623 335.3069 5.4179 200.4420 440.5693 355.0438 338.0864 150.2853 835.1003 640.0431 415.1067 23.6690 165.1923 21.0838 61.0199
10   70.6239 300.8257 180.1429 505.1634 270.2392 500.9727 216.0693 32.9299 100.2503 0.0000 65.4809 282.1069 255.0250 408.1273 530.5182 455.0227 346.0286 150.5151 265.2143 395.0593 900.2232 278.2913 100.8487 151.8813 310.0465 165.0663 435.4432 102.4718 300.1348 341.0891 255.1473 438.0473 51.7179 735.2066 540.0233 315.2935 120.7053 265.1601 120.1029 160.1562
11   20.6804 235.5000 245.0249 440.0438 335.4903 435.6727 281.1675 95.3839 165.0294 65.4809 0.0000 346.1310 190.1135 473.2980 465.3002 520.0676 411.0893 215.8052 200.0869 460.1671 835.1120 343.5173 165.1572 215.7447 375.2050 230.1914 500.1550 167.0387 365.3220 275.7430 190.0476 503.0884 16.6121 670.0849 475.0740 250.1107 185.3410 330.0780 185.1966 225.2892
12   345.2131 580.1639 103.7159 785.3225 46.5947 780.0255 74.0085 250.8891 182.5055 282.1069 346.1310 0.0000 536.0652 135.3741 810.1096 178.6289 75.0549 137.7494 545.6463 121.6199 1180.1256 46.2202 181.6152 130.4814 47.8936 119.6675 155.8923 179.9139 47.3067 620.0623 535.7647 161.9846 330.7158 1015.1606 820.7540 595.4952 162.0272 31.2426 163.9814 124.7932
13   191.8092 49.6794 435.0566 250.2883 525.1467 246.8516 471.0230 285.3107 355.0438 255.0250 190.1135 536.0652 0.0000 663.0854 275.9086 710.0121 601.0208 405.2299 13.7063 650.0461 645.2768 533.1585 355.2033 405.6734 565.0524 420.0558 690.2530 357.1032 555.0840 88.9583 7.0597 693.0343 205.3811 480.2796 285.0271 61.1784 375.2520 520.0823 375.0206 415.0968
14   474.3800 708.6922 228.6220 913.2752 138.0969 908.9003 192.1702 378.7268 308.3682 408.1273 473.2980 135.3741 663.0854 0.0000 938.5596 47.9959 62.8039 258.1488 673.2621 15.3492 1308.3172 130.0909 308.7259 260.1882 98.4712 243.3627 39.5325 306.5546 108.0569 748.8924 663.2022 32.3233 458.5570 1143.3101 948.0500 723.3187 288.8808 144.2017 288.1542 248.4034
15   465.0290 230.0304 710.2027 27.8887 800.7329 31.2078 746.4509 560.1304 630.2849 530.5182 465.3002 810.1096 275.9086 938.5596 0.0000 985.3152 876.3513 680.9065 265.3745 925.4512 370.0274 808.7222 630.1172 680.0560 840.4165 695.3758 965.0387 632.1638 830.5982 190.0768 275.4829 968.3403 480.1440 205.0982 25.1726 215.3037 650.2272 795.2172 650.4533 690.4221
16   520.7977 755.3641 275.1382 960.0990 185.3015 955.5484 239.0168 425.2771 355.0592 455.0227 520.0676 178.6289 710.0121 47.9959 985.3152 0.0000 109.0265 305.1836 720.1091 60.1720 1355.1744 177.4284 355.2833 306.0524 145.2584 290.1197 28.3459 353.1672 155.1870 795.5067 710.0707 17.3945 505.2050 1190.1491 995.0209 770.1442 335.3657 190.2720 335.0270 295.1758
17   412.0141 646.4321 166.2309 851.1099 76.7050 846.6182 130.0662 316.3710 246.0825 346.0286 411.0893 75.0549 601.0208 62.8039 876.3513 109.0265 0.0000 196.2830 611.1243 49.2057 1246.1866 69.0770 246.4014 197.6314 36.8539 181.1678 91.2516 244.2308 46.6312 686.5845 601.0844 92.0851 396.2673 1081.1618 886.0225 661.1684 226.5006 81.6811 226.0311 186.2303
18   218.5507 451.2646 35.2791 655.4206 120.1120 651.3870 66.8497 122.5354 52.6922 150.5151 215.8052 137.7494 405.2299 258.1488 680.9065 305.1836 196.2830 0.0000 415.5983 245.0819 1050.4811 128.3780 55.6475 34.8157 160.4665 20.8777 286.5801 52.4084 150.1343 491.5068 405.4942 288.1768 201.4904 885.4724 690.1462 465.6778 37.7708 116.5319 32.2989 17.8759
19   200.8295 37.6088 445.0573 240.1142 535.3966 236.0670 481.1836 295.1411 365.0805 265.2143 200.0869 545.6463 13.7063 673.2621 265.3745 720.1091 611.1243 415.5983 0.0000 660.1984 635.0818 543.3737 365.0520 415.3599 575.1570 430.1402 700.1239 367.0216 565.2904 77.2737 10.5494 703.1438 215.1622 470.0791 275.1537 50.1386 385.1583 530.1144 385.1522 425.1789
20   461.1817 695.5460 215.3649 900.1682 125.1938 895.7373 179.0831 365.4894 295.1849 395.0593 460.1671 121.6199 650.0461 15.3492 925.4512 60.1720 49.2057 245.0819 660.1984 0.0000 1295.2526 117.4369 295.5692 246.7035 85.4154 230.2001 46.6661 293.3760 95.1486 735.7099 650.1496 43.2532 445.3820 1130.2282 935.0419 710.2520 275.5720 130.6813 275.0709 235.2350
